Time,Time_Formatted,Temp_External,Temp_Internal,Open,Close_Actuation
1642163056,14/01/2022 12:24,6.8,17.2,0,0
1642163356,14/01/2022 12:29,6.9,17.6,0,0
1642163656,14/01/2022 12:34,7,17.9,0,0
1642163956,14/01/2022 12:39,7.1,17.3,0,0
1642164256,14/01/2022 12:44,7.2,17.7,1,0
1642164556,14/01/2022 12:49,7.3,17.1,1,0
1642164856,14/01/2022 12:54,7.4,17.4,0,0
1642165156,14/01/2022 12:59,7.6,17.7,0,0
1642165456,14/01/2022 13:04,7.7,17.2,0,0
1642165756,14/01/2022 13:09,7.8,17.2,0,0
1642166056,14/01/2022 13:14,7.9,17.8,0,0
1642166356,14/01/2022 13:19,8,17.3,1,0
1642166656,14/01/2022 13:24,8.2,17.9,1,0
1642166956,14/01/2022 13:29,8.3,17.3,1,0
1642167256,14/01/2022 13:34,8.4,17.1,0,0
1642167556,14/01/2022 13:39,8.5,18,0,0
1642167856,14/01/2022 13:44,8.6,18.3,0,0
1642168156,14/01/2022 13:49,8.8,18.1,0,0
1642168456,14/01/2022 13:54,8.9,18.3,0,0
1642168756,14/01/2022 13:59,9,18.5,0,0
1642169056,14/01/2022 14:04,8.9,18.1,0,0
1642169356,14/01/2022 14:09,8.8,18.4,0,0
1642169656,14/01/2022 14:14,8.7,18.7,1,0
1642169956,14/01/2022 14:19,8.6,17.9,1,0
1642170256,14/01/2022 14:24,8.6,17.8,0,0
1642170556,14/01/2022 14:29,8.5,18.2,0,0
1642170856,14/01/2022 14:34,8.4,18.6,0,0
1642171156,14/01/2022 14:39,8.3,18.8,0,0
1642171456,14/01/2022 14:44,8.2,18.9,0,0
1642171756,14/01/2022 14:49,8.1,18.9,0,0
1642172056,14/01/2022 14:54,8,18.2,0,0
1642172356,14/01/2022 14:59,7.9,18.1,0,0
1642172656,14/01/2022 15:04,7.8,18.4,0,0
1642172956,14/01/2022 15:09,7.7,18.3,0,0
1642173256,14/01/2022 15:14,7.7,18.2,0,0
1642173556,14/01/2022 15:19,7.6,18.3,0,0
1642173856,14/01/2022 15:24,7.5,18,0,0
1642174156,14/01/2022 15:29,7.4,18.7,0,0
1642174456,14/01/2022 15:34,7.3,18.8,0,0
1642174756,14/01/2022 15:39,7.2,18.8,0,0
1642175056,14/01/2022 15:44,7.1,19,0,0
1642175356,14/01/2022 15:49,7,18.4,0,0
1642175656,14/01/2022 15:54,6.9,18.3,0,0
1642175956,14/01/2022 15:59,6.8,17.9,1,0
1642176256,14/01/2022 16:04,6.8,17.6,1,0
1642176556,14/01/2022 16:09,6.7,17.2,1,0
1642176856,14/01/2022 16:14,6.6,16.8,1,1
1642177156,14/01/2022 16:19,6.5,17,0,0
1642177456,14/01/2022 16:24,6.4,17.5,0,0
1642177756,14/01/2022 16:29,6.3,17.5,0,0
1642178056,14/01/2022 16:34,6.2,18,0,0
1642178356,14/01/2022 16:39,6.1,17.4,0,0
1642178656,14/01/2022 16:44,6,17.5,0,0
1642178956,14/01/2022 16:49,5.9,17.7,0,0
1642179256,14/01/2022 16:54,5.9,18,0,0
1642179556,14/01/2022 16:59,5.8,17.5,0,0
1642179856,14/01/2022 17:04,5.7,17.6,0,0
1642180156,14/01/2022 17:09,5.6,17.2,0,0
1642180456,14/01/2022 17:14,5.6,17.4,0,0
1642180756,14/01/2022 17:19,5.5,17.5,0,0
1642181056,14/01/2022 17:24,5.4,17.3,0,0
1642181356,14/01/2022 17:29,5.4,18,0,0
1642181656,14/01/2022 17:34,5.3,17.9,0,0
1642181956,14/01/2022 17:39,5.3,17.8,0,0
1642182256,14/01/2022 17:44,5.2,17.8,0,0
1642182556,14/01/2022 17:49,5.1,17.4,0,0
1642182856,14/01/2022 17:54,5.1,17.5,0,0
1642183156,14/01/2022 17:59,5,17.1,1,0
1642183456,14/01/2022 18:04,5,17,1,0
1642183756,14/01/2022 18:09,4.9,17,1,0
1642184056,14/01/2022 18:14,4.9,16.9,0,0
1642184356,14/01/2022 18:19,4.8,17.2,0,0
1642184656,14/01/2022 18:24,4.8,17.7,0,0
1642184956,14/01/2022 18:29,4.7,17.8,0,0
1642185256,14/01/2022 18:34,4.7,17.7,0,0
1642185556,14/01/2022 18:39,4.6,17.1,0,0
1642185856,14/01/2022 18:44,4.6,17.9,0,0
1642186156,14/01/2022 18:49,4.5,17.7,0,0
1642186456,14/01/2022 18:54,4.5,17.7,0,0
1642186756,14/01/2022 18:59,4.4,17.5,0,0
1642187056,14/01/2022 19:04,4.4,17.1,0,0
1642187356,14/01/2022 19:09,4.4,17,0,0
1642187656,14/01/2022 19:14,4.3,16.9,1,0
1642187956,14/01/2022 19:19,4.3,16.9,1,0
1642188256,14/01/2022 19:24,4.2,16.8,1,1
1642188556,14/01/2022 19:29,4.2,17,0,0
1642188856,14/01/2022 19:34,4.1,16.7,0,0
1642189156,14/01/2022 19:39,4.1,16.1,0,0
1642189456,14/01/2022 19:44,4,16.1,0,0
1642189756,14/01/2022 19:49,4,16.1,0,0
1642190056,14/01/2022 19:54,3.9,16.8,0,0
1642190356,14/01/2022 19:59,3.9,16.9,0,0
1642190656,14/01/2022 20:04,3.8,17.1,0,0
1642190956,14/01/2022 20:09,3.8,16.5,1,0
1642191256,14/01/2022 20:14,3.8,15.9,1,0
1642191556,14/01/2022 20:19,3.7,15.3,1,0
1642191856,14/01/2022 20:24,3.7,14.7,1,1
1642192156,14/01/2022 20:29,3.6,14.8,1,1
1642192456,14/01/2022 20:34,3.6,14.8,1,1
1642192756,14/01/2022 20:39,3.6,15.1,0,0
1642193056,14/01/2022 20:44,3.5,15.9,0,0
1642193356,14/01/2022 20:49,3.5,15.4,0,0
1642193656,14/01/2022 20:54,3.4,15.4,0,0
1642193956,14/01/2022 20:59,3.4,15.8,0,0
1642194256,14/01/2022 21:04,3.4,15,0,0
1642194556,14/01/2022 21:09,3.3,15.3,0,0
1642194856,14/01/2022 21:14,3.3,15.9,0,0
1642195156,14/01/2022 21:19,3.2,15.1,1,0
1642195456,14/01/2022 21:24,3.2,15,1,0
1642195756,14/01/2022 21:29,3.1,14.7,1,1
1642196056,14/01/2022 21:34,3.1,14.6,1,1
1642196356,14/01/2022 21:39,3,15,0,0
1642196656,14/01/2022 21:44,3,15.9,0,0
1642196956,14/01/2022 21:49,2.9,15.5,0,0
1642197256,14/01/2022 21:54,2.9,15.7,0,0
1642197556,14/01/2022 21:59,2.8,15.6,0,0
1642197856,14/01/2022 22:04,2.8,16,0,0
1642198156,14/01/2022 22:09,2.7,16.8,0,0
1642198456,14/01/2022 22:14,2.7,16.6,0,0
1642198756,14/01/2022 22:19,2.7,16.3,0,0
1642199056,14/01/2022 22:24,2.6,16.9,0,0
1642199356,14/01/2022 22:29,2.6,16.7,0,0
1642199656,14/01/2022 22:34,2.6,16.8,0,0
1642199956,14/01/2022 22:39,2.6,16.9,0,0
1642200256,14/01/2022 22:44,2.5,16.6,0,0
1642200556,14/01/2022 22:49,2.5,16.9,0,0
1642200856,14/01/2022 22:54,2.5,16.2,0,0
1642201156,14/01/2022 22:59,2.4,16.7,0,0
1642201456,14/01/2022 23:04,2.4,17,0,0
1642201756,14/01/2022 23:09,2.4,16.2,0,0
1642202056,14/01/2022 23:14,2.3,16.8,0,0
1642202356,14/01/2022 23:19,2.3,16.7,0,0
1642202656,14/01/2022 23:24,2.3,16.7,0,0
1642202956,14/01/2022 23:29,2.2,16.7,0,0
1642203256,14/01/2022 23:34,2.2,16.6,0,0
1642203556,14/01/2022 23:39,2.2,16.9,0,0
1642203856,14/01/2022 23:44,2.1,16.1,0,0
1642204156,14/01/2022 23:49,2.1,17,0,0
1642204456,14/01/2022 23:54,2.1,16.3,0,0
1642204756,14/01/2022 23:59,2.1,16.3,0,0
1642205056,15/01/2022 00:04,2.2,16.4,0,0
1642205356,15/01/2022 00:09,2.3,16.3,0,0
1642205656,15/01/2022 00:14,2.5,16.3,0,0
1642205956,15/01/2022 00:19,2.6,16.9,0,0
1642206256,15/01/2022 00:24,2.7,16.6,0,0
1642206556,15/01/2022 00:29,2.9,17,0,0
1642206856,15/01/2022 00:34,3,16.9,0,0
1642207156,15/01/2022 00:39,3.1,16,0,0
1642207456,15/01/2022 00:44,3.3,16.7,0,0
1642207756,15/01/2022 00:49,3.4,16.7,0,0
1642208056,15/01/2022 00:54,3.5,16.6,0,0
1642208356,15/01/2022 00:59,3.7,16.7,0,0
1642208656,15/01/2022 01:04,3.6,16.2,0,0
1642208956,15/01/2022 01:09,3.5,16.3,0,0
1642209256,15/01/2022 01:14,3.4,17,0,0
1642209556,15/01/2022 01:19,3.3,16.3,0,0
1642209856,15/01/2022 01:24,3.2,16.7,0,0
1642210156,15/01/2022 01:29,3.2,16.4,0,0
1642210456,15/01/2022 01:34,3.1,16.3,0,0
1642210756,15/01/2022 01:39,3,16.1,0,0
1642211056,15/01/2022 01:44,2.9,16.6,0,0
1642211356,15/01/2022 01:49,2.8,16.2,0,0
1642211656,15/01/2022 01:54,2.7,16.1,0,0
1642211956,15/01/2022 01:59,2.7,16.2,0,0
1642212256,15/01/2022 02:04,2.6,16.3,0,0
1642212556,15/01/2022 02:09,2.5,16.5,0,0
1642212856,15/01/2022 02:14,2.4,16.9,0,0
1642213156,15/01/2022 02:19,2.3,16.7,0,0
1642213456,15/01/2022 02:24,2.2,16.4,0,0
1642213756,15/01/2022 02:29,2.1,16.4,0,0
1642214056,15/01/2022 02:34,2,16.8,0,0
1642214356,15/01/2022 02:39,1.9,16.6,0,0
1642214656,15/01/2022 02:44,1.8,16.8,0,0
1642214956,15/01/2022 02:49,1.8,16.1,0,0
1642215256,15/01/2022 02:54,1.7,15.9,0,0
1642215556,15/01/2022 02:59,1.6,15.6,0,0
1642215856,15/01/2022 03:04,1.6,15.5,0,0
1642216156,15/01/2022 03:09,1.6,15,0,0
1642216456,15/01/2022 03:14,1.6,15.1,0,0
1642216756,15/01/2022 03:19,1.6,15.2,0,0
1642217056,15/01/2022 03:24,1.6,15.8,0,0
1642217356,15/01/2022 03:29,1.6,15.6,0,0
1642217656,15/01/2022 03:34,1.6,15.8,0,0
1642217956,15/01/2022 03:39,1.7,15.6,0,0
1642218256,15/01/2022 03:44,1.7,15.8,0,0
1642218556,15/01/2022 03:49,1.7,15.6,0,0
1642218856,15/01/2022 03:54,1.7,15.9,0,0
1642219156,15/01/2022 03:59,1.7,15.2,0,0
1642219456,15/01/2022 04:04,1.7,15.7,0,0
1642219756,15/01/2022 04:09,1.7,15.2,0,0
1642220056,15/01/2022 04:14,1.7,15.8,0,0
1642220356,15/01/2022 04:19,1.8,15.9,0,0
1642220656,15/01/2022 04:24,1.8,15.8,0,0
1642220956,15/01/2022 04:29,1.8,15.9,0,0
1642221256,15/01/2022 04:34,1.8,16.2,0,0
1642221556,15/01/2022 04:39,1.8,16.3,0,0
1642221856,15/01/2022 04:44,1.8,16.3,0,0
1642222156,15/01/2022 04:49,1.8,16.5,0,0
1642222456,15/01/2022 04:54,1.8,16.9,0,0
1642222756,15/01/2022 04:59,1.8,16.4,0,0
1642223056,15/01/2022 05:04,1.9,16.3,0,0
1642223356,15/01/2022 05:09,1.9,16.2,0,0
1642223656,15/01/2022 05:14,1.9,16.5,0,0
1642223956,15/01/2022 05:19,2,16.4,0,0
1642224256,15/01/2022 05:24,2,16.5,0,0
1642224556,15/01/2022 05:29,2,16.8,0,0
1642224856,15/01/2022 05:34,2.1,16.3,0,0
1642225156,15/01/2022 05:39,2.1,16.4,0,0
1642225456,15/01/2022 05:44,2.1,16.8,0,0
1642225756,15/01/2022 05:49,2.1,16.5,0,0
1642226056,15/01/2022 05:54,2.2,16.7,0,0
1642226356,15/01/2022 05:59,2.2,16.5,0,0
1642226656,15/01/2022 06:04,2.2,16.2,0,0
1642226956,15/01/2022 06:09,2.2,16.3,0,0
1642227256,15/01/2022 06:14,2.2,16.3,0,0
1642227556,15/01/2022 06:19,2.2,16.9,0,0
1642227856,15/01/2022 06:24,2.2,16.7,0,0
1642228156,15/01/2022 06:29,2.2,16.2,0,0
1642228456,15/01/2022 06:34,2.2,16.1,0,0
1642228756,15/01/2022 06:39,2.3,16.9,0,0
